School,GradeSpan,MeasureID,Measure,Applicability,DataStatus,LatestValue,LatestPeriod
Burton Elementary,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Burton Elementary,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Burton Elementary,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,24.2%,2025
Burton Elementary,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Burton Elementary,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Burton Middle,6-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Burton Middle,6-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Burton Middle,6-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Burton Middle,6-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Burton Middle,6-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Burton Middle,6-8,3.1,Chronic Absence,Applicable,Validated data loaded,50.6%,2025
Burton Middle,6-8,3.2,Suspension,Applicable,Data not yet loaded,,
Burton Middle,6-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Burton Middle,6-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
CA Frost Environmental Elementary,K-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
CA Frost Environmental Elementary,K-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
CA Frost Environmental Elementary,K-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,3.1,Chronic Absence,Applicable,Validated data loaded,12.8%,2025
CA Frost Environmental Elementary,K-5,3.2,Suspension,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
CA Frost Environmental Elementary,K-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,3.1,Chronic Absence,Applicable,Validated data loaded,50.7%,2025
CA Frost Environmental Middle/High,6-12,3.2,Suspension,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
CA Frost Environmental Middle/High,6-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Campus Elementary,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Campus Elementary,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Campus Elementary,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,62.3%,2025
Campus Elementary,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Campus Elementary,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Center for Economicology,6,1.2a,Graduation Rate,Not applicable,Not applicable,,
Center for Economicology,6,1.2b,On-Track Credits,Not applicable,Not applicable,,
Center for Economicology,6,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Center for Economicology,6,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Center for Economicology,6,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Center for Economicology,6,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Center for Economicology,6,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Center for Economicology,6,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Center for Economicology,6,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Center for Economicology,6,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Center for Economicology,6,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Center for Economicology,6,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Center for Economicology,6,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Center for Economicology,6,2.6,SAT Benchmark,Not applicable,Not applicable,,
Center for Economicology,6,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Center for Economicology,6,3.1,Chronic Absence,Applicable,Validated data loaded,10.2%,2025
Center for Economicology,6,3.2,Suspension,Applicable,Data not yet loaded,,
Center for Economicology,6,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Center for Economicology,6,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Cesar E. Chavez,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Cesar E. Chavez,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Cesar E. Chavez,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,35.0%,2025
Cesar E. Chavez,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Cesar E. Chavez,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
City Middle/High,7-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
City Middle/High,7-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
City Middle/High,7-12,3.1,Chronic Absence,Applicable,Validated data loaded,18.3%,2025
City Middle/High,7-12,3.2,Suspension,Applicable,Data not yet loaded,,
