School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
Dickinson,PK-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Dickinson,PK-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Dickinson,PK-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Dickinson,PK-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Dickinson,PK-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Dickinson,PK-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Dickinson,PK-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Dickinson,PK-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Dickinson,PK-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Dickinson,PK-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Dickinson,PK-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Dickinson,PK-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Dickinson,PK-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Dickinson,PK-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Gerald R. Ford Academic Center,PK-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Gerald R. Ford Academic Center,PK-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Gerald R. Ford Academic Center,PK-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Gerald R. Ford Academic Center,PK-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Gerald R. Ford Academic Center,PK-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Gerald R. Ford Academic Center,PK-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Gerald R. Ford Academic Center,PK-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Gerald R. Ford Academic Center,PK-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Gerald R. Ford Academic Center,PK-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Gerald R. Ford Academic Center,PK-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Gerald R. Ford Academic Center,PK-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Learning Center,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Grand Rapids Learning Center,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Grand Rapids Learning Center,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Grand Rapids Learning Center,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Grand Rapids Learning Center,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Grand Rapids Learning Center,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Grand Rapids Learning Center,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Learning Center,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Learning Center,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Learning Center,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Learning Center,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Elementary/Middle,PK-6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Grand Rapids Montessori Elementary/Middle,PK-6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Grand Rapids Montessori Elementary/Middle,PK-6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Grand Rapids Montessori Elementary/Middle,PK-6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Grand Rapids Montessori Elementary/Middle,PK-6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Grand Rapids Montessori Elementary/Middle,PK-6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Grand Rapids Montessori Elementary/Middle,PK-6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Elementary/Middle,PK-6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Elementary/Middle,PK-6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Elementary/Middle,PK-6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Elementary/Middle,PK-6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Middle/High,7-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Grand Rapids Montessori Middle/High,7-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Grand Rapids Montessori Middle/High,7-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Grand Rapids Montessori Middle/High,7-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Grand Rapids Montessori Middle/High,7-12,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Grand Rapids Montessori Middle/High,7-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Grand Rapids Montessori Middle/High,7-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Grand Rapids Montessori Middle/High,7-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Middle/High,7-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Middle/High,7-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Grand Rapids Montessori Middle/High,7-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Harrison Park,PK-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Harrison Park,PK-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Harrison Park,PK-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Harrison Park,PK-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Harrison Park,PK-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Harrison Park,PK-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Harrison Park,PK-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Harrison Park,PK-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Harrison Park,PK-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Harrison Park,PK-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Harrison Park,PK-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Harrison Park,PK-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Harrison Park,PK-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Harrison Park,PK-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central High,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Innovation Central High,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Innovation Central High,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central High,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Innovation Central High,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Innovation Central High,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Innovation Central High,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Innovation Central High,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Innovation Central High,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Innovation Central High,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Innovation Central High,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central High,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central High,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central High,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central Middle School,6-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Innovation Central Middle School,6-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Innovation Central Middle School,6-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Innovation Central Middle School,6-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Innovation Central Middle School,6-8,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Innovation Central Middle School,6-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Innovation Central Middle School,6-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Innovation Central Middle School,6-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central Middle School,6-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central Middle School,6-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Innovation Central Middle School,6-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
John Ball Park Zoo,6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
John Ball Park Zoo,6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
John Ball Park Zoo,6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
John Ball Park Zoo,6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
John Ball Park Zoo,6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
John Ball Park Zoo,6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
John Ball Park Zoo,6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
John Ball Park Zoo,6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
John Ball Park Zoo,6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
John Ball Park Zoo,6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
John Ball Park Zoo,6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
John Ball Park Zoo,6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
John Ball Park Zoo,6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
John Ball Park Zoo,6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ken-o-Sha Park,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Ken-o-Sha Park,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Ken-o-Sha Park,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Ken-o-Sha Park,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Ken-o-Sha Park,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Ken-o-Sha Park,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Ken-o-Sha Park,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Ken-o-Sha Park,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ken-o-Sha Park,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ken-o-Sha Park,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ken-o-Sha Park,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Kent Hills,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Kent Hills,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Kent Hills,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Kent Hills,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Kent Hills,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Kent Hills,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Kent Hills,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Kent Hills,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Kent Hills,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Kent Hills,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Kent Hills,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Kent Hills,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Kent Hills,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Kent Hills,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Martin Luther King Jr.,PK-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Martin Luther King Jr.,PK-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Martin Luther King Jr.,PK-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Martin Luther King Jr.,PK-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Martin Luther King Jr.,PK-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Martin Luther King Jr.,PK-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Martin Luther King Jr.,PK-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Martin Luther King Jr.,PK-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Martin Luther King Jr.,PK-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Martin Luther King Jr.,PK-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Martin Luther King Jr.,PK-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Mulick Park,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Mulick Park,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Mulick Park,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Mulick Park,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Mulick Park,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Mulick Park,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Mulick Park,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Mulick Park,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Mulick Park,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Mulick Park,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Mulick Park,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Mulick Park,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Mulick Park,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Mulick Park,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
North Park Montessori,K-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
North Park Montessori,K-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
North Park Montessori,K-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
North Park Montessori,K-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
North Park Montessori,K-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
North Park Montessori,K-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
