School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
Buchanan,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Buchanan,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Buchanan,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Buchanan,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Buchanan,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Buchanan,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Buchanan,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Buchanan,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Buchanan,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Buchanan,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Buchanan,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Buchanan,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Buchanan,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Buchanan,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Elementary,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Burton Elementary,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Burton Elementary,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Burton Elementary,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Burton Elementary,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Burton Elementary,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Burton Elementary,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Burton Elementary,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Burton Elementary,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Burton Elementary,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Burton Elementary,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Elementary,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Elementary,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Elementary,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Middle,6-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Burton Middle,6-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Burton Middle,6-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Burton Middle,6-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Burton Middle,6-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Burton Middle,6-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Burton Middle,6-8,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Burton Middle,6-8,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Burton Middle,6-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Burton Middle,6-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Burton Middle,6-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Middle,6-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Middle,6-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Burton Middle,6-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Elementary,K-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
CA Frost Environmental Elementary,K-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
CA Frost Environmental Elementary,K-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
CA Frost Environmental Elementary,K-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
CA Frost Environmental Elementary,K-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
CA Frost Environmental Elementary,K-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
CA Frost Environmental Elementary,K-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Elementary,K-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Elementary,K-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Elementary,K-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Elementary,K-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Middle/High,6-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
CA Frost Environmental Middle/High,6-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
CA Frost Environmental Middle/High,6-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
CA Frost Environmental Middle/High,6-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
CA Frost Environmental Middle/High,6-12,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
CA Frost Environmental Middle/High,6-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
CA Frost Environmental Middle/High,6-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
CA Frost Environmental Middle/High,6-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Middle/High,6-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Middle/High,6-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
CA Frost Environmental Middle/High,6-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Campus Elementary,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Campus Elementary,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Campus Elementary,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Campus Elementary,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Campus Elementary,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Campus Elementary,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Campus Elementary,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Campus Elementary,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Campus Elementary,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Campus Elementary,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Campus Elementary,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Campus Elementary,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Campus Elementary,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Campus Elementary,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Center for Economicology,6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Center for Economicology,6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Center for Economicology,6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Center for Economicology,6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Center for Economicology,6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Center for Economicology,6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Center for Economicology,6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Center for Economicology,6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Center for Economicology,6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Center for Economicology,6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Center for Economicology,6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Center for Economicology,6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Center for Economicology,6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Center for Economicology,6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Cesar E. Chavez,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Cesar E. Chavez,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Cesar E. Chavez,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Cesar E. Chavez,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Cesar E. Chavez,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Cesar E. Chavez,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Cesar E. Chavez,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Cesar E. Chavez,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Cesar E. Chavez,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Cesar E. Chavez,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Cesar E. Chavez,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
City Middle/High,7-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
City Middle/High,7-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
City Middle/High,7-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
City Middle/High,7-12,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
City Middle/High,7-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
City Middle/High,7-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
City Middle/High,7-12,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
City Middle/High,7-12,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
City Middle/High,7-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
City Middle/High,7-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
City Middle/High,7-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
City Middle/High,7-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
